SpeciesCode,HUCID
137976,0202000607
137976,0202000609
137976,0202000611
137976,0202000703
137976,0202000704
137976,0202000705
137976,0202000706
137976,0202000801
137976,0202000804
137976,0202000805
137976,0203010101
137976,0203020101
137976,0203020102
137976,0203020103
137976,0203020104
137976,0203020201
137976,0203020202
137976,0203020203
137976,0203020204
137976,0203020205
137976,0203020206
137976,0203020207
137976,0203020208
137976,0203020209
137976,0204010201
137976,0204010202
137976,0204010203
137976,0204010204
137976,0204010401
137976,0204010402
137976,0205010201
137976,0205010202
137976,0204020400
137976,0204020504
137976,0414020113
137976,0414020115
137976,0414020116
137976,0414020206
137976,0414020207
137976,0414020208
137976,0414020209
137976,0414020301
137976,0204010305
137976,0204010406
137976,0204010408
137976,0204010409
137976,0204010503
137976,0204010601
137976,0204010602
137976,0204010603
137976,0204010604
137976,0204010605
137976,0204010607
137976,0204010608
137976,0204020102
137976,0204020103
137976,0204020301
137976,0204020302
137976,0204020303
137976,0204020304
137976,0204020305
137976,0204020306
137976,0204020307
137976,0204020308
137976,0204020309
137976,0204020310
137976,0204020501
137976,0204020502
137976,0205020105
137976,0205020107
137976,0415040101
137976,0415040801
137976,0415040802
137976,0415040806
137976,0415040816
137976,0110000505
137976,0203010102
137976,0203010201
137976,0203010104
137976,0202000301
137976,0202000309
137976,0205020401
137976,0205020402
137976,0205020403
137976,0205020404
137976,0205020610
137976,0205020612
137976,0205030102
137976,0205030104
137976,0205030204
137976,0205030205
137976,0205030206
137976,0205030207
137976,0205030406
137976,0205030506
137976,0205030507
137976,0205030609
137976,0205030611
137976,0205030614
137976,0501000305
137976,0505000302
137976,0505000303
137976,0505000304
137976,0505000306
137976,0505000307
137976,0505000308
137976,0505000309
137976,0505000402
137976,0505000502
137976,0505000504
137976,0505000505
137976,0505000506
137976,0502000501
137976,0503010608
137976,0503010611
137976,0501000306
137976,0501000307
137976,0501000308
137976,0501000309
137976,0501000408
137976,0501000409
137976,0502000503
137976,0502000504
137976,0502000505
137976,0503010502
137976,0503010503
137976,0503010604
137976,0205030615
137976,0204020503
137976,0204010506
137976,0204020203
137976,0204020205
137976,0204020206
137976,0601010206
137976,0601010207
137976,0601010305
137976,0601010401
137976,0601010513
137976,0601010604
137976,0601010703
137976,0601010805
137976,0601010807
137976,0601010808
137976,0601020604
137976,0602000103
137976,0602000105
137976,0602000106
137976,0602000213
137976,0602000214
137976,0207000508
137976,0207000509
137976,0207000807
137976,0207001004
137976,0207001005
137976,0207001006
137976,0207001007
137976,0208010202
137976,0208010203
137976,0208010204
137976,0208010304
137976,0208010306
137976,0208010307
137976,0208010308
137976,0208010309
137976,0208010310
137976,0208010311
137976,0208010401
137976,0208010402
137976,0208010403
137976,0208010404
137976,0208010501
137976,0208010502
137976,0208010503
137976,0208010504
137976,0208010505
137976,0208010506
137976,0602000111
137976,0714010502
137976,0714010609
137976,0107000501
137976,0107000502
137976,0108020302
137976,0108020305
137976,0108020401
137976,0108020402
137976,0108020403
137976,0108020404
137976,0108020601
137976,0108020602
137976,0109000101
137976,0109000102
137976,0109000103
137976,0109000104
137976,0109000105
137976,0109000106
137976,0109000107
137976,0109000108
137976,0109000301
137976,0108020501
137976,0110000102
137976,0109000302
137976,0109000404
137976,0602000112
137976,0601010301
137976,0601020403
137976,0602000209
137976,0601010202
137976,0601010204
137976,0601020508
137976,0601020603
137976,0208010604
137976,0208010605
137976,0208010606
137976,0208010608
137976,0208010609
137976,0208010610
137976,0208010611
137976,0208010701
137976,0208010702
137976,0208010801
137976,0208010802
137976,0208020102
137976,0208020110
137976,0208020111
137976,0208020112
137976,0208020113
137976,0208020114
137976,0208020115
137976,0208020301
137976,0208020303
137976,0208020304
137976,0208020308
137976,0208020311
137976,0208020313
137976,0208020314
137976,0208020315
137976,0208020502
137976,0208020503
137976,0208020605
137976,0208020606
137976,0208020607
137976,0208020608
137976,0208020609
137976,0208020701
137976,0208020702
137976,0714020403
137976,0714020406
137976,0714020407
137976,0714020408
137976,0714020409
137976,0714010109
137976,0714010501
137976,0714010503
137976,0109000407
137976,0206000201
137976,0206000310
137976,0206000601
137976,0206000604
137976,0207000804
137976,0207000808
137976,0207000907
137976,0207001001
137976,0206000203
137976,0206000202
137976,0207000809
137976,0207000810
137976,0207001101
137976,0208010100
137976,0208020803
137976,0301010101
137976,0301010102
137976,0301010104
137976,0301010105
137976,0301010106
137976,0301010107
137976,0301010108
137976,0301010109
137976,0301010110
137976,0301010111
137976,0301010112
137976,0301010113
137976,0301010114
137976,0301010115
137976,0301010201
137976,0301010202
137976,0301010203
137976,0301010306
137976,0301010310
137976,0301010501
137976,0301010502
137976,0301010503
137976,0505000113
137976,0505000114
137976,0505000115
137976,0505000116
137976,0505000117
137976,0103000311
137976,0103000312
137976,0103000315
137976,0103000320
137976,0103000321
137976,0103000322
137976,0103000323
137976,0103000324
137976,0507020203
137976,0507020205
137976,0601020504
137976,0601020505
137976,0601020506
137976,0601020601
137976,0601020602
137976,0207001008
137976,0207001102
137976,0301010403
137976,0505000106
137976,0208020103
137976,0208020104
137976,0505000203
137976,0415040103
137976,0415040202
137976,0415040305
137976,0415040306
137976,0415040307
137976,0415040502
137976,0415040503
137976,0415040805
137976,0415040808
137976,0415040809
137976,0415040812
137976,0415050000
137976,0202000302
137976,0202000307
137976,0415040102
137976,0105000304
137976,0105000306
137976,0106000101
137976,0106000102
137976,0106000103
137976,0106000104
137976,0106000105
137976,0106000106
137976,0415060000
137976,0714010701
137976,0714010702
137976,0714010703
137976,0714010704
137976,0714010705
137976,0802020301
137976,0802020402
137976,0301010303
137976,0301010305
137976,0301010309
137976,0306010201
137976,0306010204
137976,0306010401
137976,0306010402
137976,0712000102
137976,0404000101
137976,0404000102
137976,0405000122
137976,0405000123
137976,0405000125
137976,0405000201
137976,0205030612
137976,0505000305
137976,0204010410
137976,0110000502
137976,0305010101
137976,0503020402
137976,0305010513
137976,0203010504
137976,0306010203
137976,0714010504
137976,0303000201
137976,0303000202
137976,0303000203
137976,0303000204
137976,0303000301
137976,0303000302
137976,0313000101
137976,0313000102
137976,0313000103
137976,0313000104
137976,0313000105
137976,0313000106
137976,0313000107
137976,0405000126
137976,0304010105
137976,0304010106
137976,0304010107
137976,0304010108
137976,0304010109
137976,0304010110
137976,0304010302
137976,0304010304
137976,0503020403
137976,0503020404
137976,0503020405
137976,0503020406
137976,0315010103
137976,0315010104
137976,0315010201
137976,0315010202
137976,0315010203
137976,0315010204
137976,0315010205
137976,0315010208
137976,0315010401
137976,0315010402
137976,0602000107
137976,0602000109
137976,0305010102
137976,0305010103
137976,0305010104
137976,0305010105
137976,0305010106
137976,0305010107
137976,0305010108
137976,0305010201
137976,0305010202
137976,0305010501
137976,0305010502
137976,0305010503
137976,0305010504
137976,0305010505
137976,0305010506
137976,0305010507
137976,0601010501
137976,0601010502
137976,0601010503
137976,0601010504
137976,0601010505
137976,0601010506
137976,0601010507
137976,0601010509
137976,0601010512
137976,0601010601
137976,0601010602
137976,0601010603
137976,0601010801
137976,0601010802
137976,0601020201
137976,0601020202
137976,0601020203
137976,0601020204
137976,0601020301
137976,0601020302
137976,0601020303
137976,0601020401
137976,0602000202
137976,0602000204
137976,0602000206
137976,0602000207
137976,0602000203
137976,0305010512
137976,0305010901
137976,0306010101
137976,0601010302
137976,0601010303
137976,0601010304
137976,0301010301
137976,0301010401
137976,0503020407
137976,0506000206
137976,0502000303
137976,0503010605
137976,0503010610
137976,0109000405
137976,0109000406
137976,0109000502
137976,0109000504
137976,0109000409
137976,0602000110
137976,0602000201
137976,0602000205
137976,0602000301
137976,0602000302
137976,0306010202
137976,0315010101
137976,0602000104
137976,0507020207
137976,0510020101
137976,0202000701
137976,0203010304
137976,0203010305
137976,0203010306
137976,0203010307
137976,0203010308
137976,0203010403
137976,0203010404
137976,0203010501
137976,0203010502
137976,0203010503
137976,0204010501
137976,0204010502
137976,0204010504
137976,0204010505
137976,0204010508
137976,0204020101
137976,0506000209
137976,0506000212
137976,0506000214
137976,0506000215
137976,0506000216
137976,0509010102
137976,0509010103
137976,0509010302
137976,0509010305
137976,0509010306
137976,0305010701
137976,0305010703
137976,0305010801
137976,0305010903
137976,0305010904
137976,0305010905
137976,0305010906
137976,0305010908
137976,0306010103
137976,0306010105
137976,0306010108
137976,0513010101
137976,0513010102
137976,0204020601
137976,0204030101
137976,0204030102
137976,0204030103
137976,0204030108
137976,0202000702
137976,0203010301
137976,0203010302
137976,0203010309
137976,0203010402
137976,0204010403
137976,0204010405
137976,0204010407
137976,0204010509
137976,0204020104
137976,0204020204
137976,0306010205
137976,0305010515
137976,0305010902
137976,0306010102
137976,0509010301
137976,0509020102
137976,0202000107
137976,0202000205
137976,0202000206
137976,0202000207
137976,0202000303
137976,0202000304
137976,0202000305
137976,0202000310
137976,0202000311
137976,0202000411
137976,0108020502
137976,0108020503
137976,0108020504
137976,0108020505
137976,0108020506
137976,0108020507
137976,0108020508
137976,0108020509
137976,0108020701
137976,0108020704
137976,0108020705
137976,0108020706
137976,0110000104
137976,0110000106
137976,0110000107
137976,0110000201
137976,0110000202
137976,0110000203
137976,0110000301
137976,0110000302
137976,0110000303
137976,0110000401
137976,0110000402
137976,0110000403
137976,0110000503
137976,0110000507
137976,0110000508
137976,0110000509
137976,0110000510
137976,0110000511
137976,0110000512
137976,0110000513
137976,0110000601
137976,0110000602
137976,0110000603
137976,0108020603
137976,0108020702
137976,0108020703
